size_of_warp,time_seq,time_par,threads
100,5.6000000000000006e-05,0.000314,2
200,0.000177,0.000638,2
300,0.000371,0.000874,2
400,0.000616,0.00122,2
500,0.0014210000000000002,0.005640999999999999,2
600,0.001384,0.002207,2
700,0.00182,0.002762,2
800,0.002344,0.003425,2
900,0.0029690000000000003,0.003972,2
1000,0.003643,0.005034,2
1100,0.004527000000000001,0.005612,2
1200,0.005226,0.008029999999999999,2
1300,0.006365,0.00713,2
1400,0.007128,0.008343999999999999,2
1500,0.00821,0.008962000000000001,2
1600,0.009381,0.010597,2
1700,0.010398000000000001,0.012209999999999999,2
1800,0.011863,0.012399,2
1900,0.012943000000000001,0.013697999999999998,2
2000,0.014415,0.014681,2
2100,0.015762,0.015727,2
2200,0.017378,0.017171000000000002,2
2300,0.019356,0.018918,2
2400,0.020622,0.020224000000000002,2
2500,0.022867,0.021951,2
2600,0.024136,0.022979,2
2700,0.025892000000000002,0.025376,2
2800,0.027712999999999998,0.026956,2
2900,0.029502999999999998,0.027889999999999998,2
3000,0.031794,0.030157,2
3100,0.034210000000000004,0.032070999999999995,2
3200,0.036197,0.034948,2
3300,0.039206,0.035431,2
3400,0.0412,0.037751,2
3500,0.043335000000000005,0.040536,2
3600,0.046156,0.042388999999999996,2
3700,0.049239,0.043703,2
3800,0.05075,0.046981,2
3900,0.053517999999999996,0.048886,2
4000,0.056366,0.05152,2
4100,0.059775,0.053382000000000006,2
4200,0.063689,0.056153999999999996,2
4300,0.065477,0.06084199999999999,2
4400,0.068524,0.06059,2
4500,0.071243,0.062921,2
4600,0.080841,0.070171,2
4700,0.079387,0.070134,2
4800,0.082238,0.072585,2
4900,0.088762,0.074488,2
5000,0.091789,0.07801,2
5100,0.091587,0.09237200000000001,2
5200,0.09542,0.08454600000000001,2
5300,0.098592,0.08669500000000001,2
5400,0.103984,0.091013,2
5500,0.10718599999999999,0.10619100000000001,2
5600,0.11540299999999999,0.10329,2
5700,0.115177,0.09767,2
5800,0.11986300000000001,0.10194,2
5900,0.122347,0.10391700000000001,2
6000,0.126301,0.109375,2
6100,0.13668,0.11456,2
6200,0.13701,0.11739200000000001,2
6300,0.140431,0.122754,2
6400,0.155277,0.12521400000000002,2
6500,0.150518,0.12831800000000002,2
6600,0.158109,0.132438,2
6700,0.16220199999999999,0.135696,2
6800,0.169696,0.13784000000000002,2
6900,0.171283,0.143152,2
7000,0.17331,0.152292,2
7100,0.176616,0.15027000000000001,2
7200,0.190356,0.15568900000000002,2
7300,0.19296300000000002,0.166468,2
7400,0.19814400000000001,0.163011,2
7500,0.205771,0.16475499999999998,2
7600,0.207837,0.171344,2
7700,0.210373,0.173466,2
